"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Health Indicators of Pakistan","31-Dec-2003","TS_GP_RL_HLTHIND_Y.HIPAK0600",". Life Expectancy (Both Sexes)","63.45","Number","Normal","","60","Life Expectancy (Both Sexes)"
"Health Indicators of Pakistan","31-Dec-2003","TS_GP_RL_HLTHIND_Y.HIPAK0700",". Life Expectancy (Male)","63.3","Number","Normal","","70","Life Expectancy (Male)"
"Health Indicators of Pakistan","31-Dec-2003","TS_GP_RL_HLTHIND_Y.HIPAK0800",". Life Expectancy (Female)","63.6","Number","Normal","","80","Life Expectancy (Female)"
"Health Indicators of Pakistan","31-Dec-2002","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","27.03","Number","Normal","","10","Crude Birth Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-2002","TS_GP_RL_HLTHIND_Y.HIPAK0200",". Crude Death Rate (Per Thousand Persons)","8.2","Number","Normal","","20","Crude Death Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-2002","TS_GP_RL_HLTHIND_Y.HIPAK0300",". Population Growth rate(%)","","Percent","Missing value","","30","Population Growth rate(%)"
"Health Indicators of Pakistan","31-Dec-2002","TS_GP_RL_HLTHIND_Y.HIPAK0400",". Total Fertility Rate (per Woman)","4.53","Number","Normal","","40","Total Fertility Rate (per Woman)"
"Health Indicators of Pakistan","31-Dec-2002","TS_GP_RL_HLTHIND_Y.HIPAK0500",". Infant Mortality Rate (Per Thousand Children)","85","Number","Normal","","50","Infant Mortality Rate (Per Thousand Children)"
"Health Indicators of Pakistan","31-Dec-2002","TS_GP_RL_HLTHIND_Y.HIPAK0600",". Life Expectancy (Both Sexes)","63.2","Number","Normal","","60","Life Expectancy (Both Sexes)"
"Health Indicators of Pakistan","31-Dec-2002","TS_GP_RL_HLTHIND_Y.HIPAK0700",". Life Expectancy (Male)","63.1","Number","Normal","","70","Life Expectancy (Male)"
"Health Indicators of Pakistan","31-Dec-2002","TS_GP_RL_HLTHIND_Y.HIPAK0800",". Life Expectancy (Female)","63.3","Number","Normal","","80","Life Expectancy (Female)"
"Health Indicators of Pakistan","31-Dec-2001","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","28.7","Number","Normal","","10","Crude Birth Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-2001","TS_GP_RL_HLTHIND_Y.HIPAK0200",". Crude Death Rate (Per Thousand Persons)","8.2","Number","Normal","","20","Crude Death Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-2001","TS_GP_RL_HLTHIND_Y.HIPAK0300",". Population Growth rate(%)","2.61","Percent","Normal","","30","Population Growth rate(%)"
"Health Indicators of Pakistan","31-Dec-2001","TS_GP_RL_HLTHIND_Y.HIPAK0400",". Total Fertility Rate (per Woman)","4.6","Number","Normal","","40","Total Fertility Rate (per Woman)"
"Health Indicators of Pakistan","31-Dec-2001","TS_GP_RL_HLTHIND_Y.HIPAK0500",". Infant Mortality Rate (Per Thousand Children)","77.1","Number","Normal","","50","Infant Mortality Rate (Per Thousand Children)"
"Health Indicators of Pakistan","31-Dec-2001","TS_GP_RL_HLTHIND_Y.HIPAK0600",". Life Expectancy (Both Sexes)","62.95","Number","Normal","","60","Life Expectancy (Both Sexes)"
"Health Indicators of Pakistan","31-Dec-2001","TS_GP_RL_HLTHIND_Y.HIPAK0700",". Life Expectancy (Male)","62.9","Number","Normal","","70","Life Expectancy (Male)"
"Health Indicators of Pakistan","31-Dec-2001","TS_GP_RL_HLTHIND_Y.HIPAK0800",". Life Expectancy (Female)","63","Number","Normal","","80","Life Expectancy (Female)"
"Health Indicators of Pakistan","31-Dec-2000","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","30.2","Number","Normal","","10","Crude Birth Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-2000","TS_GP_RL_HLTHIND_Y.HIPAK0200",". Crude Death Rate (Per Thousand Persons)","8.3","Number","Normal","","20","Crude Death Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-2000","TS_GP_RL_HLTHIND_Y.HIPAK0300",". Population Growth rate(%)","2.6","Percent","Normal","","30","Population Growth rate(%)"
"Health Indicators of Pakistan","31-Dec-2000","TS_GP_RL_HLTHIND_Y.HIPAK0400",". Total Fertility Rate (per Woman)","4.67","Number","Normal","","40","Total Fertility Rate (per Woman)"
"Health Indicators of Pakistan","31-Dec-2000","TS_GP_RL_HLTHIND_Y.HIPAK0500",". Infant Mortality Rate (Per Thousand Children)","79.8","Number","Normal","","50","Infant Mortality Rate (Per Thousand Children)"
"Health Indicators of Pakistan","31-Dec-2000","TS_GP_RL_HLTHIND_Y.HIPAK0600",". Life Expectancy (Both Sexes)","62.7","Number","Normal","","60","Life Expectancy (Both Sexes)"
"Health Indicators of Pakistan","31-Dec-2000","TS_GP_RL_HLTHIND_Y.HIPAK0700",". Life Expectancy (Male)","62.7","Number","Normal","","70","Life Expectancy (Male)"
"Health Indicators of Pakistan","31-Dec-2000","TS_GP_RL_HLTHIND_Y.HIPAK0800",". Life Expectancy (Female)","62.7","Number","Normal","","80","Life Expectancy (Female)"
"Health Indicators of Pakistan","31-Dec-1999","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","30.5","Number","Normal","","10","Crude Birth Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1999","TS_GP_RL_HLTHIND_Y.HIPAK0200",". Crude Death Rate (Per Thousand Persons)","8.6","Number","Normal","","20","Crude Death Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1999","TS_GP_RL_HLTHIND_Y.HIPAK0300",". Population Growth rate(%)","2.4","Percent","Normal","","30","Population Growth rate(%)"
"Health Indicators of Pakistan","31-Dec-1999","TS_GP_RL_HLTHIND_Y.HIPAK0400",". Total Fertility Rate (per Woman)","4.73","Number","Normal","","40","Total Fertility Rate (per Woman)"
"Health Indicators of Pakistan","31-Dec-1999","TS_GP_RL_HLTHIND_Y.HIPAK0500",". Infant Mortality Rate (Per Thousand Children)","82.9","Number","Normal","","50","Infant Mortality Rate (Per Thousand Children)"
"Health Indicators of Pakistan","31-Dec-1999","TS_GP_RL_HLTHIND_Y.HIPAK0600",". Life Expectancy (Both Sexes)","62.45","Number","Normal","","60","Life Expectancy (Both Sexes)"
"Health Indicators of Pakistan","31-Dec-1999","TS_GP_RL_HLTHIND_Y.HIPAK0700",". Life Expectancy (Male)","62.5","Number","Normal","","70","Life Expectancy (Male)"
"Health Indicators of Pakistan","31-Dec-1999","TS_GP_RL_HLTHIND_Y.HIPAK0800",". Life Expectancy (Female)","62.4","Number","Normal","","80","Life Expectancy (Female)"
"Health Indicators of Pakistan","31-Dec-1998","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","32.7","Number","Normal","","10","Crude Birth Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1998","TS_GP_RL_HLTHIND_Y.HIPAK0200",". Crude Death Rate (Per Thousand Persons)","9.1","Number","Normal","","20","Crude Death Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1998","TS_GP_RL_HLTHIND_Y.HIPAK0300",". Population Growth rate(%)","2.4","Percent","Normal","","30","Population Growth rate(%)"
"Health Indicators of Pakistan","31-Dec-1998","TS_GP_RL_HLTHIND_Y.HIPAK0400",". Total Fertility Rate (per Woman)","4.8","Number","Normal","","40","Total Fertility Rate (per Woman)"
"Health Indicators of Pakistan","31-Dec-1998","TS_GP_RL_HLTHIND_Y.HIPAK0500",". Infant Mortality Rate (Per Thousand Children)","81.5","Number","Normal","","50","Infant Mortality Rate (Per Thousand Children)"
"Health Indicators of Pakistan","31-Dec-1998","TS_GP_RL_HLTHIND_Y.HIPAK0600",". Life Expectancy (Both Sexes)","62.2","Number","Normal","","60","Life Expectancy (Both Sexes)"
"Health Indicators of Pakistan","31-Dec-1998","TS_GP_RL_HLTHIND_Y.HIPAK0700",". Life Expectancy (Male)","62.3","Number","Normal","","70","Life Expectancy (Male)"
"Health Indicators of Pakistan","31-Dec-1998","TS_GP_RL_HLTHIND_Y.HIPAK0800",". Life Expectancy (Female)","62.1","Number","Normal","","80","Life Expectancy (Female)"
"Health Indicators of Pakistan","31-Dec-1997","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","33.8","Number","Normal","","10","Crude Birth Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1997","TS_GP_RL_HLTHIND_Y.HIPAK0200",". Crude Death Rate (Per Thousand Persons)","8.9","Number","Normal","","20","Crude Death Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1997","TS_GP_RL_HLTHIND_Y.HIPAK0300",". Population Growth rate(%)","2.5","Percent","Normal","","30","Population Growth rate(%)"
"Health Indicators of Pakistan","31-Dec-1997","TS_GP_RL_HLTHIND_Y.HIPAK0400",". Total Fertility Rate (per Woman)","5","Number","Normal","","40","Total Fertility Rate (per Woman)"
"Health Indicators of Pakistan","31-Dec-1997","TS_GP_RL_HLTHIND_Y.HIPAK0500",". Infant Mortality Rate (Per Thousand Children)","84.4","Number","Normal","","50","Infant Mortality Rate (Per Thousand Children)"
"Health Indicators of Pakistan","31-Dec-1997","TS_GP_RL_HLTHIND_Y.HIPAK0600",". Life Expectancy (Both Sexes)","63.7","Number","Normal","","60","Life Expectancy (Both Sexes)"
"Health Indicators of Pakistan","31-Dec-1997","TS_GP_RL_HLTHIND_Y.HIPAK0700",". Life Expectancy (Male)","62.8","Number","Normal","","70","Life Expectancy (Male)"
"Health Indicators of Pakistan","31-Dec-1997","TS_GP_RL_HLTHIND_Y.HIPAK0800",". Life Expectancy (Female)","64.6","Number","Normal","","80","Life Expectancy (Female)"
"Health Indicators of Pakistan","31-Dec-1996","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","35.2","Number","Normal","","10","Crude Birth Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1996","TS_GP_RL_HLTHIND_Y.HIPAK0200",". Crude Death Rate (Per Thousand Persons)","8.8","Number","Normal","","20","Crude Death Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1996","TS_GP_RL_HLTHIND_Y.HIPAK0300",". Population Growth rate(%)","2.6","Percent","Normal","","30","Population Growth rate(%)"
"Health Indicators of Pakistan","31-Dec-1996","TS_GP_RL_HLTHIND_Y.HIPAK0400",". Total Fertility Rate (per Woman)","5.5","Number","Normal","","40","Total Fertility Rate (per Woman)"
"Health Indicators of Pakistan","31-Dec-1996","TS_GP_RL_HLTHIND_Y.HIPAK0500",". Infant Mortality Rate (Per Thousand Children)","85.5","Number","Normal","","50","Infant Mortality Rate (Per Thousand Children)"
"Health Indicators of Pakistan","31-Dec-1996","TS_GP_RL_HLTHIND_Y.HIPAK0600",". Life Expectancy (Both Sexes)","61.1","Number","Normal","","60","Life Expectancy (Both Sexes)"
"Health Indicators of Pakistan","31-Dec-1996","TS_GP_RL_HLTHIND_Y.HIPAK0700",". Life Expectancy (Male)","60.3","Number","Normal","","70","Life Expectancy (Male)"
"Health Indicators of Pakistan","31-Dec-1996","TS_GP_RL_HLTHIND_Y.HIPAK0800",". Life Expectancy (Female)","61.9","Number","Normal","","80","Life Expectancy (Female)"
"Health Indicators of Pakistan","31-Dec-1995","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","36.6","Number","Normal","","10","Crude Birth Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1995","TS_GP_RL_HLTHIND_Y.HIPAK0200",". Crude Death Rate (Per Thousand Persons)","9.2","Number","Normal","","20","Crude Death Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1995","TS_GP_RL_HLTHIND_Y.HIPAK0300",". Population Growth rate(%)","2.63","Percent","Normal","","30","Population Growth rate(%)"
"Health Indicators of Pakistan","31-Dec-1995","TS_GP_RL_HLTHIND_Y.HIPAK0400",". Total Fertility Rate (per Woman)","5.7","Number","Normal","","40","Total Fertility Rate (per Woman)"
"Health Indicators of Pakistan","31-Dec-1995","TS_GP_RL_HLTHIND_Y.HIPAK0500",". Infant Mortality Rate (Per Thousand Children)","94.6","Number","Normal","","50","Infant Mortality Rate (Per Thousand Children)"
"Health Indicators of Pakistan","31-Dec-1995","TS_GP_RL_HLTHIND_Y.HIPAK0600",". Life Expectancy (Both Sexes)","","Number","Missing value","","60","Life Expectancy (Both Sexes)"
"Health Indicators of Pakistan","31-Dec-1995","TS_GP_RL_HLTHIND_Y.HIPAK0700",". Life Expectancy (Male)","","Number","Missing value","","70","Life Expectancy (Male)"
"Health Indicators of Pakistan","31-Dec-1995","TS_GP_RL_HLTHIND_Y.HIPAK0800",". Life Expectancy (Female)","","Number","Missing value","","80","Life Expectancy (Female)"
"Health Indicators of Pakistan","31-Dec-1994","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","37.6","Number","Normal","","10","Crude Birth Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1994","TS_GP_RL_HLTHIND_Y.HIPAK0200",". Crude Death Rate (Per Thousand Persons)","9.9","Number","Normal","","20","Crude Death Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1994","TS_GP_RL_HLTHIND_Y.HIPAK0300",". Population Growth rate(%)","2.8","Percent","Normal","","30","Population Growth rate(%)"
"Health Indicators of Pakistan","31-Dec-1994","TS_GP_RL_HLTHIND_Y.HIPAK0400",". Total Fertility Rate (per Woman)","5.6","Number","Normal","","40","Total Fertility Rate (per Woman)"
"Health Indicators of Pakistan","31-Dec-1994","TS_GP_RL_HLTHIND_Y.HIPAK0500",". Infant Mortality Rate (Per Thousand Children)","100.4","Number","Normal","","50","Infant Mortality Rate (Per Thousand Children)"
"Health Indicators of Pakistan","31-Dec-1994","TS_GP_RL_HLTHIND_Y.HIPAK0600",". Life Expectancy (Both Sexes)","60","Number","Normal","","60","Life Expectancy (Both Sexes)"
"Health Indicators of Pakistan","31-Dec-1994","TS_GP_RL_HLTHIND_Y.HIPAK0700",". Life Expectancy (Male)","59.3","Number","Normal","","70","Life Expectancy (Male)"
"Health Indicators of Pakistan","31-Dec-1994","TS_GP_RL_HLTHIND_Y.HIPAK0800",". Life Expectancy (Female)","60.7","Number","Normal","","80","Life Expectancy (Female)"
"Health Indicators of Pakistan","31-Dec-1993","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","39.9","Number","Normal","","10","Crude Birth Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1993","TS_GP_RL_HLTHIND_Y.HIPAK0200",". Crude Death Rate (Per Thousand Persons)","10.1","Number","Normal","","20","Crude Death Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1993","TS_GP_RL_HLTHIND_Y.HIPAK0300",". Population Growth rate(%)","2.8","Percent","Normal","","30","Population Growth rate(%)"
"Health Indicators of Pakistan","31-Dec-1993","TS_GP_RL_HLTHIND_Y.HIPAK0400",". Total Fertility Rate (per Woman)","5.6","Number","Normal","","40","Total Fertility Rate (per Woman)"
"Health Indicators of Pakistan","31-Dec-1993","TS_GP_RL_HLTHIND_Y.HIPAK0500",". Infant Mortality Rate (Per Thousand Children)","101.8","Number","Normal","","50","Infant Mortality Rate (Per Thousand Children)"
"Health Indicators of Pakistan","31-Dec-1993","TS_GP_RL_HLTHIND_Y.HIPAK0600",". Life Expectancy (Both Sexes)","60","Number","Normal","","60","Life Expectancy (Both Sexes)"
"Health Indicators of Pakistan","31-Dec-1993","TS_GP_RL_HLTHIND_Y.HIPAK0700",". Life Expectancy (Male)","59.3","Number","Normal","","70","Life Expectancy (Male)"
"Health Indicators of Pakistan","31-Dec-1993","TS_GP_RL_HLTHIND_Y.HIPAK0800",". Life Expectancy (Female)","60.7","Number","Normal","","80","Life Expectancy (Female)"
"Health Indicators of Pakistan","31-Dec-1992","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","39.3","Number","Normal","","10","Crude Birth Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1992","TS_GP_RL_HLTHIND_Y.HIPAK0200",". Crude Death Rate (Per Thousand Persons)","10.1","Number","Normal","","20","Crude Death Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1992","TS_GP_RL_HLTHIND_Y.HIPAK0300",". Population Growth rate(%)","2.9","Percent","Normal","","30","Population Growth rate(%)"
"Health Indicators of Pakistan","31-Dec-1992","TS_GP_RL_HLTHIND_Y.HIPAK0400",". Total Fertility Rate (per Woman)","5.8","Number","Normal","","40","Total Fertility Rate (per Woman)"
"Health Indicators of Pakistan","31-Dec-1992","TS_GP_RL_HLTHIND_Y.HIPAK0500",". Infant Mortality Rate (Per Thousand Children)","100.9","Number","Normal","","50","Infant Mortality Rate (Per Thousand Children)"
"Health Indicators of Pakistan","31-Dec-1992","TS_GP_RL_HLTHIND_Y.HIPAK0600",". Life Expectancy (Both Sexes)","60","Number","Normal","","60","Life Expectancy (Both Sexes)"
"Health Indicators of Pakistan","31-Dec-1992","TS_GP_RL_HLTHIND_Y.HIPAK0700",". Life Expectancy (Male)","59.3","Number","Normal","","70","Life Expectancy (Male)"
"Health Indicators of Pakistan","31-Dec-1992","TS_GP_RL_HLTHIND_Y.HIPAK0800",". Life Expectancy (Female)","60.7","Number","Normal","","80","Life Expectancy (Female)"
"Health Indicators of Pakistan","31-Dec-1991","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","39.5","Number","Normal","","10","Crude Birth Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1991","TS_GP_RL_HLTHIND_Y.HIPAK0200",". Crude Death Rate (Per Thousand Persons)","9.8","Number","Normal","","20","Crude Death Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1991","TS_GP_RL_HLTHIND_Y.HIPAK0300",". Population Growth rate(%)","3","Percent","Normal","","30","Population Growth rate(%)"
"Health Indicators of Pakistan","31-Dec-1991","TS_GP_RL_HLTHIND_Y.HIPAK0400",". Total Fertility Rate (per Woman)","6","Number","Normal","","40","Total Fertility Rate (per Woman)"
"Health Indicators of Pakistan","31-Dec-1991","TS_GP_RL_HLTHIND_Y.HIPAK0500",". Infant Mortality Rate (Per Thousand Children)","102.4","Number","Normal","","50","Infant Mortality Rate (Per Thousand Children)"
"Health Indicators of Pakistan","31-Dec-1991","TS_GP_RL_HLTHIND_Y.HIPAK0600",". Life Expectancy (Both Sexes)","60","Number","Normal","","60","Life Expectancy (Both Sexes)"
"Health Indicators of Pakistan","31-Dec-1991","TS_GP_RL_HLTHIND_Y.HIPAK0700",". Life Expectancy (Male)","59.3","Number","Normal","","70","Life Expectancy (Male)"
"Health Indicators of Pakistan","31-Dec-1991","TS_GP_RL_HLTHIND_Y.HIPAK0800",". Life Expectancy (Female)","60.7","Number","Normal","","80","Life Expectancy (Female)"
"Health Indicators of Pakistan","31-Dec-1990","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","40.6","Number","Normal","","10","Crude Birth Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1990","TS_GP_RL_HLTHIND_Y.HIPAK0200",". Crude Death Rate (Per Thousand Persons)","10.6","Number","Normal","","20","Crude Death Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1990","TS_GP_RL_HLTHIND_Y.HIPAK0300",". Population Growth rate(%)","3","Percent","Normal","","30","Population Growth rate(%)"
"Health Indicators of Pakistan","31-Dec-1990","TS_GP_RL_HLTHIND_Y.HIPAK0400",". Total Fertility Rate (per Woman)","6.2","Number","Normal","","40","Total Fertility Rate (per Woman)"
"Health Indicators of Pakistan","31-Dec-1990","TS_GP_RL_HLTHIND_Y.HIPAK0500",". Infant Mortality Rate (Per Thousand Children)","105","Number","Normal","","50","Infant Mortality Rate (Per Thousand Children)"
"Health Indicators of Pakistan","31-Dec-1990","TS_GP_RL_HLTHIND_Y.HIPAK0600",". Life Expectancy (Both Sexes)","","Number","Missing value","","60","Life Expectancy (Both Sexes)"
"Health Indicators of Pakistan","31-Dec-1990","TS_GP_RL_HLTHIND_Y.HIPAK0700",". Life Expectancy (Male)","","Number","Missing value","","70","Life Expectancy (Male)"
"Health Indicators of Pakistan","31-Dec-1990","TS_GP_RL_HLTHIND_Y.HIPAK0800",". Life Expectancy (Female)","","Number","Missing value","","80","Life Expectancy (Female)"
"Health Indicators of Pakistan","31-Dec-1989","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","40.9","Number","Normal","","10","Crude Birth Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1989","TS_GP_RL_HLTHIND_Y.HIPAK0200",". Crude Death Rate (Per Thousand Persons)","10.1","Number","Normal","","20","Crude Death Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1989","TS_GP_RL_HLTHIND_Y.HIPAK0300",". Population Growth rate(%)","3.1","Percent","Normal","","30","Population Growth rate(%)"
"Health Indicators of Pakistan","31-Dec-1989","TS_GP_RL_HLTHIND_Y.HIPAK0400",". Total Fertility Rate (per Woman)","6.4","Number","Normal","","40","Total Fertility Rate (per Woman)"
"Health Indicators of Pakistan","31-Dec-1989","TS_GP_RL_HLTHIND_Y.HIPAK0500",". Infant Mortality Rate (Per Thousand Children)","107","Number","Normal","","50","Infant Mortality Rate (Per Thousand Children)"
"Health Indicators of Pakistan","31-Dec-1989","TS_GP_RL_HLTHIND_Y.HIPAK0600",". Life Expectancy (Both Sexes)","","Number","Missing value","","60","Life Expectancy (Both Sexes)"
"Health Indicators of Pakistan","31-Dec-1989","TS_GP_RL_HLTHIND_Y.HIPAK0700",". Life Expectancy (Male)","","Number","Missing value","","70","Life Expectancy (Male)"
"Health Indicators of Pakistan","31-Dec-1989","TS_GP_RL_HLTHIND_Y.HIPAK0800",". Life Expectancy (Female)","","Number","Missing value","","80","Life Expectancy (Female)"
"Health Indicators of Pakistan","31-Dec-1988","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","40.5","Number","Normal","","10","Crude Birth Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1988","TS_GP_RL_HLTHIND_Y.HIPAK0200",". Crude Death Rate (Per Thousand Persons)","10.8","Number","Normal","","20","Crude Death Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1988","TS_GP_RL_HLTHIND_Y.HIPAK0300",". Population Growth rate(%)","3","Percent","Normal","","30","Population Growth rate(%)"
"Health Indicators of Pakistan","31-Dec-1988","TS_GP_RL_HLTHIND_Y.HIPAK0400",". Total Fertility Rate (per Woman)","6.5","Number","Normal","","40","Total Fertility Rate (per Woman)"
"Health Indicators of Pakistan","31-Dec-1988","TS_GP_RL_HLTHIND_Y.HIPAK0500",". Infant Mortality Rate (Per Thousand Children)","108","Number","Normal","","50","Infant Mortality Rate (Per Thousand Children)"
"Health Indicators of Pakistan","31-Dec-1988","TS_GP_RL_HLTHIND_Y.HIPAK0600",". Life Expectancy (Both Sexes)","","Number","Missing value","","60","Life Expectancy (Both Sexes)"
"Health Indicators of Pakistan","31-Dec-1988","TS_GP_RL_HLTHIND_Y.HIPAK0700",". Life Expectancy (Male)","","Number","Missing value","","70","Life Expectancy (Male)"
"Health Indicators of Pakistan","31-Dec-1988","TS_GP_RL_HLTHIND_Y.HIPAK0800",". Life Expectancy (Female)","","Number","Missing value","","80","Life Expectancy (Female)"
"Health Indicators of Pakistan","31-Dec-1987","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","43.3","Number","Normal","","10","Crude Birth Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1987","TS_GP_RL_HLTHIND_Y.HIPAK0200",". Crude Death Rate (Per Thousand Persons)","10.5","Number","Normal","","20","Crude Death Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1987","TS_GP_RL_HLTHIND_Y.HIPAK0300",". Population Growth rate(%)","3.3","Percent","Normal","","30","Population Growth rate(%)"
"Health Indicators of Pakistan","31-Dec-1987","TS_GP_RL_HLTHIND_Y.HIPAK0400",". Total Fertility Rate (per Woman)","6.9","Number","Normal","","40","Total Fertility Rate (per Woman)"
"Health Indicators of Pakistan","31-Dec-1987","TS_GP_RL_HLTHIND_Y.HIPAK0500",". Infant Mortality Rate (Per Thousand Children)","104","Number","Normal","","50","Infant Mortality Rate (Per Thousand Children)"
"Health Indicators of Pakistan","31-Dec-1987","TS_GP_RL_HLTHIND_Y.HIPAK0600",". Life Expectancy (Both Sexes)","60.9","Number","Normal","","60","Life Expectancy (Both Sexes)"
"Health Indicators of Pakistan","31-Dec-1987","TS_GP_RL_HLTHIND_Y.HIPAK0700",". Life Expectancy (Male)","60.5","Number","Normal","","70","Life Expectancy (Male)"
"Health Indicators of Pakistan","31-Dec-1987","TS_GP_RL_HLTHIND_Y.HIPAK0800",". Life Expectancy (Female)","61.4","Number","Normal","","80","Life Expectancy (Female)"
"Health Indicators of Pakistan","31-Dec-1986","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","43.3","Number","Normal","","10","Crude Birth Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1986","TS_GP_RL_HLTHIND_Y.HIPAK0200",". Crude Death Rate (Per Thousand Persons)","10.1","Number","Normal","","20","Crude Death Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1986","TS_GP_RL_HLTHIND_Y.HIPAK0300",". Population Growth rate(%)","3.3","Percent","Normal","","30","Population Growth rate(%)"
"Health Indicators of Pakistan","31-Dec-1986","TS_GP_RL_HLTHIND_Y.HIPAK0400",". Total Fertility Rate (per Woman)","6.9","Number","Normal","","40","Total Fertility Rate (per Woman)"
"Health Indicators of Pakistan","31-Dec-1986","TS_GP_RL_HLTHIND_Y.HIPAK0500",". Infant Mortality Rate (Per Thousand Children)","106","Number","Normal","","50","Infant Mortality Rate (Per Thousand Children)"
"Health Indicators of Pakistan","31-Dec-1986","TS_GP_RL_HLTHIND_Y.HIPAK0600",". Life Expectancy (Both Sexes)","60.9","Number","Normal","","60","Life Expectancy (Both Sexes)"
"Health Indicators of Pakistan","31-Dec-1986","TS_GP_RL_HLTHIND_Y.HIPAK0700",". Life Expectancy (Male)","60.5","Number","Normal","","70","Life Expectancy (Male)"
"Health Indicators of Pakistan","31-Dec-1986","TS_GP_RL_HLTHIND_Y.HIPAK0800",". Life Expectancy (Female)","61.4","Number","Normal","","80","Life Expectancy (Female)"
"Health Indicators of Pakistan","31-Dec-1985","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","43.3","Number","Normal","","10","Crude Birth Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1985","TS_GP_RL_HLTHIND_Y.HIPAK0200",". Crude Death Rate (Per Thousand Persons)","11.5","Number","Normal","","20","Crude Death Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-1985","TS_GP_RL_HLTHIND_Y.HIPAK0300",". Population Growth rate(%)","3.2","Percent","Normal","","30","Population Growth rate(%)"
